epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,448.95,496.5,447.85,495.0,46725,1742787900,513.6,563.1,513.6,563.0,23850,-68.0,0.0
1742788200,2025-03-24 09:20:00+05:30,493.05,494.8,474.0,491.35,31200,1742788200,561.3,562.4,539.85,559.05,14625,-67.69999999999993,0.00023152614315335995
1742788500,2025-03-24 09:25:00+05:30,490.15,490.15,475.0,477.0,13950,1742788500,555.0,555.0,542.1,542.1,4425,-65.10000000000002,0.0024567471484999714
1742788800,2025-03-24 09:30:00+05:30,473.1,475.45,454.05,456.5,26550,1742788800,542.0,542.0,519.55,520.7,27975,-64.20000000000005,0.005252720661260923
1742789100,2025-03-24 09:35:00+05:30,456.5,468.05,453.05,453.65,6300,1742789100,520.7,532.7,515.05,517.0,4500,-63.35000000000002,0.008547427077687075
1742789400,2025-03-24 09:40:00+05:30,451.05,481.8,448.7,476.0,12900,1742789400,517.0,549.45,511.15,537.5,4725,-61.5,0.013082749675746186
1742789700,2025-03-24 09:45:00+05:30,476.0,494.65,474.95,492.8,13350,1742789700,538.6,560.45,538.6,556.25,7200,-63.44999999999999,0.01585454485406501
1742790000,2025-03-24 09:50:00+05:30,491.35,509.05,489.65,496.6,19950,1742790000,555.9,575.4,555.9,563.45,5850,-66.85000000000002,0.015838262083320842
1742790300,2025-03-24 09:55:00+05:30,496.6,529.55,496.6,526.9,12825,1742790300,563.45,599.55,563.45,595.2,9825,-68.30000000000007,0.014691605254782303
1742790600,2025-03-24 10:00:00+05:30,526.5,540.35,524.05,532.55,22950,1742790600,594.65,610.0,592.35,601.65,20550,-69.10000000000002,0.012979037586646314
1742790900,2025-03-24 10:05:00+05:30,533.4,536.4,526.95,527.1,10800,1742790900,601.65,604.45,592.55,596.05,9150,-68.94999999999993,0.011466055692650912
1742791200,2025-03-24 10:10:00+05:30,527.1,531.6,521.5,529.45,22125,1742791200,596.0,600.95,590.25,597.35,8475,-67.89999999999998,0.010837469445021952
1742791500,2025-03-24 10:15:00+05:30,530.35,541.0,525.05,541.0,6000,1742791500,598.2,610.45,593.15,610.45,9150,-69.45000000000005,0.00903874401478788
1742791800,2025-03-24 10:20:00+05:30,542.9,542.9,529.7,531.6,4575,1742791800,614.0,614.0,597.0,599.0,17175,-67.39999999999998,0.008913698508564494
